emp_no,first_name,last_name,title,from_date,salary
96599,Kwee,Salverda,Senior Engineer,2002-08-01,40000
259430,Yechiam,Kobara,Senior Engineer,2002-08-01,42235
461960,Remko,Ramsay,Senior Staff,2002-08-01,45705
206731,Phuoc,Ramras,Senior Engineer,2002-08-01,47835
445728,Herb,Lorin,Engineer,2002-07-31,43208
106648,Khue,Masamoto,Senior Engineer,2002-07-31,55524
56227,Shen,Makrucki,Senior Staff,2002-07-31,52748
37664,Dines,Sundgren,Senior Engineer,2002-07-31,40000
417555,Zejun,Coors,Senior Engineer,2002-07-31,60173
263088,Xianlong,Undy,Senior Staff,2002-07-31,41440
289182,Gio,Nicolson,Senior Staff,2002-07-31,40000
459158,Naftali,Anger,Senior Staff,2002-07-31,79635
458538,Zissis,Prenel,Senior Staff,2002-07-30,40000
96196,Berthier,Zambonelli,Senior Engineer,2002-07-30,45838
221086,Baziley,Motley,Senior Staff,2002-07-29,40000
240083,Huan,Kroon,Senior Engineer,2002-07-29,40726
32261,Bernt,Dehkordi,Senior Engineer,2002-07-29,61148
45217,Marsal,Pena,Senior Staff,2002-07-29,40000
248336,Amstein,Vitiello,Senior Staff,2002-07-28,76219
299091,Kinh,Angel,Senior Engineer,2002-07-28,40000
73758,Serenella,Sevcikova,Senior Engineer,2002-07-28,44201
53092,Tetsushi,England,Senior Staff,2002-07-28,81343
442133,Bernd,Angel,Senior Staff,2002-07-28,85908
109167,Uli,Harllee,Senior Staff,2002-07-27,40000
60488,Yakkov,Staylopatis,Senior Engineer,2002-07-27,55530
203484,Guttorm,Gyimothy,Senior Staff,2002-07-27,57018
98445,Spyrose,Constantine,Senior Engineer,2002-07-27,65189
13210,Jianhua,Klassen,Senior Staff,2002-07-27,83961
16130,Kerryn,Belinskaya,Engineer,2002-07-26,40000
235740,Arco,Baer,Senior Staff,2002-07-26,86294
205524,Dante,Reistad,Senior Engineer,2002-07-25,44416
299587,Visit,Schaad,Senior Engineer,2002-07-24,63186
474376,Jovan,Bage,Senior Engineer,2002-07-24,46646
467524,Youngkon,Pearson,Senior Staff,2002-07-24,79405
413166,Koldo,Salverda,Senior Staff,2002-07-24,61714
474386,Collette,Ohori,Engineer,2002-07-23,44880
454271,Uta,Sullins,Senior Engineer,2002-07-22,40000
259457,Alper,Garnier,Senior Engineer,2002-07-21,62540
86342,Marit,Boguraev,Senior Engineer,2002-07-21,57263
278523,Berni,Back,Senior Staff,2002-07-21,75523
467443,Xiadong,Ramamoorthy,Senior Engineer,2002-07-21,40000
456169,Kinh,Perl,Senior Engineer,2002-07-20,43729
269157,Leaf,Asrin,Senior Staff,2002-07-20,84354
86081,Valery,Iwayama,Senior Staff,2002-07-19,53594
202006,Gritta,Peac,Engineer,2002-07-19,49739
293048,Berhard,Simmen,Senior Staff,2002-07-19,40000
101845,Giordano,Pouyioutas,Senior Staff,2002-07-19,40000
280247,Lorien,Desikan,Senior Engineer,2002-07-19,40000
70602,Hongzhu,Maquelin,Senior Engineer,2002-07-18,40000
62443,Conrado,Pluym,Senior Engineer,2002-07-18,57970
474569,Paraskevi,Nyanchama,Senior Staff,2002-07-18,92009
232134,Malu,Suwa,Senior Engineer,2002-07-17,48500
448254,Hironobu,Gischer,Senior Engineer,2002-07-17,60178
44873,Eberhardt,Raczkowsky,Senior Staff,2002-07-14,47739
67761,Jagoda,Rothe,Senior Staff,2002-07-14,40000
64796,Xiadong,Auria,Senior Staff,2002-07-14,66457
488057,Gennady,Schonegge,Senior Engineer,2002-07-14,40501
