count,emp_no,first_name,last_name,salary,from_date
1,270784,Piyush,Docker,53925,2002-08-01
1,21758,Susumu,Picht,81328,2002-07-31
1,26958,Juichirou,Raoux,45702,2002-07-31
1,232802,Branimir,Riesenhuber,47113,2002-07-31
1,216947,Utz,Vernadat,58691,2002-07-30
1,281058,Miomir,Bressoud,40000,2002-07-26
1,64158,Yechiam,Fujisawa,71989,2002-07-24
1,53157,Weiye,Birge,49549,2002-07-22
1,239721,Ramzi,Crouzet,40000,2002-07-22
1,468100,Guoxiang,Lambe,44481,2002-07-22
1,448364,Xuedong,Sinitsyn,70649,2002-07-21
1,49710,Goetz,Herber,40000,2002-07-19
1,74939,Rimli,Valiente,40000,2002-07-19
1,450217,Petter,Gluchowski,40000,2002-07-18
1,11732,Sanjoy,Ranft,40000,2002-07-12
1,269854,Shih,Gente,44728,2002-07-11
1,451208,Taegyun,Versino,40000,2002-07-10
1,288768,Khosrow,Lindenbaum,40000,2002-07-09
1,27856,Lokesh,Holburn,40000,2002-07-08
1,47586,Goncalo,Rothe,40000,2002-07-08
1,264535,Gunilla,Ashish,40000,2002-07-08
1,210480,Aloys,Brendel,40000,2002-07-05
1,445790,Visit,Luon,40000,2002-07-04
1,246511,Kokou,Pelz,41462,2002-07-03
1,404105,Minghong,Cyre,74642,2002-07-03
1,60764,Taizo,Stamatiou,40000,2002-07-02
1,266333,Moss,Oppitz,52343,2002-07-02
1,27884,Kristina,Zucker,61284,2002-07-01
1,420314,Oguz,Demke,47552,2002-07-01
1,421032,Aemilian,Trachtenberg,45050,2002-07-01
1,274011,Breannda,Mawatari,48022,2002-06-29
1,446468,Kagan,Lanphier,52014,2002-06-29
1,240711,Kokou,Alpin,48524,2002-06-27
1,88399,Thodoros,Pettit,40000,2002-06-24
1,273718,Padma,Nitto,66725,2002-06-24
1,446147,Krassimir,Karunanithi,40000,2002-06-24
1,88101,Zongyan,Strooper,40000,2002-06-23
1,459673,Tiina,Qiwen,59420,2002-06-23
1,252523,Masami,Schwabacher,41870,2002-06-21
1,460088,Elvia,Kusakari,40000,2002-06-21
1,423986,Debatosh,Alvarado,40000,2002-06-20
1,251688,Tsuneo,Jenevein,44343,2002-06-18
1,295795,Tomofumi,Budinsky,93161,2002-06-18
1,296790,Shaleah,Oppitz,40000,2002-06-18
1,464437,Steve,Kamble,40000,2002-06-18
1,108262,Yannis,Alpay,44889,2002-06-17
1,293632,Arnould,Kenevan,68204,2002-06-17
1,471577,Xiaoheng,Maccarone,40000,2002-06-17
1,497893,Sailaja,Ciolek,70983,2002-06-16
1,217734,Tayeb,Eldridge,66838,2002-06-15
1,232438,Demos,Polupanov,60527,2002-06-15
1,273360,Kellie,Bade,43634,2002-06-15
1,262673,Kazuhira,Wixon,40000,2002-06-13
1,280236,Sadegh,Vingron,58675,2002-06-11
1,492943,Satyanarayana,Skogmar,40000,2002-06-11
1,450322,Hsiangchu,Melichar,40000,2002-06-09
1,23369,Khalil,Zykh,61057,2002-06-07
1,251154,Zdislav,Picel,40000,2002-06-06
1,96819,Flemming,Petersohn,71896,2002-06-04
1,225623,Arunas,Taubenfeld,40000,2002-06-04
1,14372,Saniya,Srimani,57667,2002-06-02
1,234208,Yucai,Horswill,52120,2002-06-02
1,292995,Junsik,Picel,58108,2002-06-01
1,29603,Kristina,Khamsi,68610,2002-05-28
1,205357,Radhia,Engelmann,40000,2002-05-27
1,222598,Lokesh,Bade,42312,2002-05-27
1,97335,Demin,Haddadi,54629,2002-05-26
1,272683,Monique,Cyne,46759,2002-05-23
1,54758,Kwun,Butner,40000,2002-05-20
1,82063,Shaunak,Plump,42422,2002-05-20
1,104312,Suzette,Hettesheimer,74364,2002-05-18
1,451921,Jayesh,Radhakrishnan,40000,2002-05-17
1,24397,Shaibal,Shimshoni,52260,2002-05-16
1,419104,Satoru,Vasanthakumar,40000,2002-05-16
1,405888,Leucio,Alpay,59958,2002-05-15
1,421401,Jaewon,Litzler,40000,2002-05-14
1,31036,Vivian,Orlowski,40000,2002-05-13
1,440259,Changho,Farris,87914,2002-05-13
1,294514,Kwangyoen,Scharstein,60296,2002-05-12
1,223310,Jolita,Erdi,73898,2002-05-11
1,498514,Piyawadee,Farris,52562,2002-05-11
1,491695,Rosine,Madeira,40000,2002-05-10
1,65721,Marjo,Snedden,56679,2002-05-09
1,62325,Nitsan,Cummings,42545,2002-05-07
1,71471,Bernice,Peak,50095,2002-05-06
1,256429,Takahiro,Kaiserswerth,40000,2002-05-05
1,243845,Selwyn,Larfeldt,89464,2002-05-04
1,419000,Subhada,Sluis,92761,2002-05-04
1,413755,Serap,Munke,40000,2002-05-02
1,432757,Teiji,Erni,41315,2002-05-02
1,471444,Xinan,Welham,66925,2002-05-02
1,256840,Bartek,Navazio,51810,2002-04-30
1,450422,Tayeb,Ebeling,40000,2002-04-27
1,287711,Amabile,Jansch,40000,2002-04-26
1,421697,Marko,Iwayama,40000,2002-04-26
1,475639,Maha,Ranka,64444,2002-04-26
1,476082,Youngkon,Vesna,40000,2002-04-26
1,215513,Sigeru,Litzkow,73090,2002-04-25
1,461885,Sreenivas,Gluchowski,40000,2002-04-25
1,76398,Younwoo,Heijenga,40000,2002-04-24
1,81564,Martijn,Michaels,40000,2002-04-24
1,206952,Jeanna,Kadhim,50622,2002-04-24
1,69928,Abdelkader,Nourani,40000,2002-04-23
1,210098,Mingzeng,Milicic,63442,2002-04-20
1,202386,Nadjib,Marshall,86296,2002-04-19
1,400288,Paddy,Macedo,48182,2002-04-19
1,208969,Susuma,Beetstra,51255,2002-04-18
1,67476,Gino,Kilgour,40000,2002-04-17
1,264306,Xiaobin,Curless,40000,2002-04-17
1,15410,Wilmer,Kushner,58123,2002-04-15
1,404449,Xiaoqiu,Schnelling,45960,2002-04-15
1,470774,Tsz,Falster,40000,2002-04-15
1,471631,Mingsen,Ibel,40418,2002-04-12
1,98586,Kauko,Steenbeek,40000,2002-04-11
1,462470,Satyanarayana,Worfolk,50319,2002-04-11
1,211098,Thanasis,Benaini,60846,2002-04-08
1,245366,Sachar,Rodier,52967,2002-04-07
1,16272,Shuho,Zeleznik,40000,2002-04-05
1,214302,Xiadong,Siegrist,40000,2002-04-05
1,266147,Lalit,Krichel,57640,2002-04-05
1,284163,JoAnna,Cromarty,40000,2002-04-04
1,295065,Otilia,Luon,40000,2002-04-02
1,17559,Annemarie,Papastamatiou,53573,2002-03-31
1,492204,Vitaly,Ulupinar,47492,2002-03-31
